pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,precio_unitario,descuento_pct,total,estado,metodo_pago,tiene_descuento
O0029,C029,P020,2023-08-02,7.0,197.27,5.0,1311.85,pendiente,efectivo,True
O0030,C058,P055,2024-02-18,1.0,191.7,0.0,191.7,enviado,tarjeta,False
O0031,C072,P014,2024-04-28,5.0,109.84,0.0,549.2,completado,efectivo,False
O0032,C078,P046,2023-07-08,5.0,235.79,10.0,1061.06,cancelado,,True
O0033,C066,P057,2024-08-04,6.0,188.5,0.0,1131.0,completado,efectivo,False
O0034,C019,P002,2024-09-19,5.0,102.11,15.0,433.97,completado,efectivo,True
O0035,C064,P036,2024-05-25,8.0,88.28,5.0,670.93,completado,efectivo,True
O0036,C063,P012,2023-09-02,1.0,73.06,0.0,73.06,completado,tarjeta,False
O0037,C028,P033,2024-06-02,8.0,8.27,0.0,66.16,completado,efectivo,False
O0038,C036,P035,2024-01-17,3.0,459.43,5.0,1309.38,enviado,tarjeta,True
O0039,C068,P017,2024-05-26,2.0,479.85,20.0,767.76,enviado,efectivo,True
O0041,C011,P032,2024-11-26,10.0,447.92,5.0,4255.24,enviado,tarjeta,True
O0042,C061,P018,2023-02-22,9.0,93.78,0.0,844.02,enviado,tarjeta,False
O0043,C019,P049,2024-02-10,10.0,285.51,20.0,2284.08,pendiente,webpay,True
O0044,C018,P051,2023-09-24,1.0,221.36,10.0,199.22,completado,tarjeta,True
O0045,C077,P026,2024-01-21,8.0,117.93,15.0,801.92,completado,tarjeta,True
O0046,C049,P006,2024-04-23,2.0,81.34,15.0,138.28,pendiente,,True
O0047,C014,P006,2023-05-15,5.0,70.59,15.0,300.01,completado,efectivo,True
O0049,C011,P047,2023-10-17,7.0,73.73,10.0,464.5,completado,tarjeta,True
O0051,C026,P030,2023-03-10,7.0,421.6,10.0,2656.08,completado,,True
O0052,C056,P053,2023-05-11,8.0,92.93,10.0,669.1,cancelado,tarjeta,True
O0053,C074,P051,2023-06-13,7.0,61.37,20.0,343.67,,tarjeta,True
O0054,C071,P002,2024-12-07,5.0,410.39,15.0,1744.16,completado,transferencia,True
O0055,C031,P017,2023-12-14,2.0,495.4,20.0,792.64,enviado,efectivo,True
O0056,C065,P060,2024-09-02,9.0,59.14,10.0,479.03,completado,tarjeta,True
O0057,C006,P037,2024-06-26,2.0,53.81,20.0,86.1,,efectivo,True
O0058,C075,P045,2023-08-12,8.0,175.76,15.0,1195.17,pendiente,transferencia,True
O0059,C054,P059,2023-02-27,6.0,174.82,20.0,839.14,completado,,True
O0060,C061,P007,2024-12-23,5.0,406.04,0.0,2030.2,pendiente,efectivo,False
O0061,C022,P060,2023-09-06,6.0,479.44,15.0,2445.14,completado,tarjeta,True
O0062,C056,P026,2023-12-20,8.0,197.47,5.0,1500.77,cancelado,efectivo,True
O0063,C074,P007,2023-06-11,8.0,134.86,20.0,863.1,pendiente,tarjeta,True
O0064,C050,P040,2024-10-04,6.0,310.59,20.0,1490.83,completado,efectivo,True
O0065,C018,P021,2023-04-10,3.0,348.25,15.0,888.04,completado,tarjeta,True
O0066,C074,P025,2024-03-16,9.0,247.37,5.0,2115.01,pendiente,tarjeta,True
O0067,C080,P004,2024-01-16,4.0,482.1,15.0,1639.14,completado,webpay,True
O0068,C057,P032,2023-02-19,4.0,21.18,20.0,67.78,cancelado,tarjeta,True
O0069,C059,P037,2024-09-17,10.0,137.61,20.0,1100.88,completado,tarjeta,True
O0070,C070,P014,2024-02-24,5.0,227.62,0.0,1138.1,completado,efectivo,False
O0071,C031,P014,2024-12-20,3.0,393.5,0.0,1180.5,completado,,False
O0073,C017,P016,2023-12-11,7.0,75.37,15.0,448.45,enviado,tarjeta,True
O0074,C010,P041,2023-07-17,6.0,475.38,20.0,2281.82,completado,efectivo,True
O0076,C044,P036,2023-10-28,6.0,27.74,0.0,166.44,pendiente,tarjeta,False
O0077,C057,P030,2023-07-07,5.0,437.84,0.0,2189.2,pendiente,transferencia,False
O0078,C011,P024,2023-01-13,4.0,329.47,0.0,1317.88,enviado,tarjeta,False
O0079,C010,P009,2023-09-22,1.0,349.32,15.0,296.92,completado,tarjeta,True
O0081,C019,P005,2023-10-21,8.0,362.6,15.0,2465.68,completado,tarjeta,True
O0082,C028,P006,2023-03-25,10.0,179.01,10.0,1611.09,completado,efectivo,True
O0083,C036,P042,2023-04-18,1.0,106.7,15.0,90.7,cancelado,tarjeta,True
O0085,C054,P024,2023-08-25,1.0,11.83,0.0,11.83,completado,webpay,False
O0086,C065,P019,2024-07-23,2.0,142.35,0.0,284.7,,efectivo,False
O0087,C020,P035,2024-07-19,5.0,366.33,0.0,1831.65,enviado,efectivo,False
O0088,C056,P008,2024-10-20,5.0,64.12,150.0,-160.3,completado,tarjeta,True
O0089,C064,P023,2024-03-12,5.0,386.86,10.0,1740.87,enviado,transferencia,True
O0090,C068,P005,2024-12-19,8.0,257.84,15.0,1753.31,completado,tarjeta,True
O0091,C048,P011,2024-02-19,4.0,26.8,5.0,101.84,completado,tarjeta,True
O0092,C047,P025,2023-03-28,9.0,116.14,15.0,888.47,pendiente,transferencia,True
O0093,C010,P037,2024-02-17,3.0,403.15,15.0,1028.03,pendiente,tarjeta,True
O0094,C037,P050,2024-06-03,1.0,104.33,20.0,83.46,enviado,tarjeta,True
O0095,C048,P038,2024-04-24,3.0,466.54,5.0,1329.64,,,True
O0097,C019,P046,2024-02-02,9.0,351.92,15.0,2692.19,pendiente,tarjeta,True
O0098,C013,P033,2023-11-27,2.0,220.32,5.0,418.61,cancelado,transferencia,True
O0099,C041,P060,2024-12-27,6.0,139.62,5.0,795.83,completado,tarjeta,True
O0101,C060,P017,2023-02-06,10.0,111.44,5.0,1058.68,pendiente,efectivo,True
O0102,C046,P026,2023-11-10,3.0,476.29,20.0,1143.1,,efectivo,True
O0103,C013,P030,2023-03-04,1.0,69.7,10.0,62.73,pendiente,tarjeta,True
O0104,C076,P017,2023-01-03,8.0,50.53,0.0,404.24,completado,tarjeta,False
O0105,C007,P011,2024-12-13,1.0,343.19,10.0,308.87,enviado,tarjeta,True
O0106,C036,P018,2024-03-02,5.0,208.94,0.0,1044.7,pendiente,transferencia,False
O0107,C050,P009,2024-04-21,9.0,494.75,15.0,3784.84,,tarjeta,True
O0109,C046,P050,2023-03-04,4.0,269.18,5.0,1022.88,completado,webpay,True
O0110,C046,P060,2023-03-08,6.0,353.21,20.0,1695.41,completado,tarjeta,True
O0111,C073,P013,2024-09-10,8.0,49.68,20.0,317.95,enviado,tarjeta,True
O0112,C068,P031,2023-06-20,3.0,359.88,0.0,1079.64,completado,tarjeta,False
O0113,C076,P046,2023-02-28,2.0,353.75,20.0,566.0,pendiente,,True
O0114,C039,P021,2023-03-24,8.0,91.23,5.0,693.35,completado,tarjeta,True
O0115,C049,P020,2024-03-06,10.0,426.12,5.0,4048.14,completado,,True
O0116,C079,P015,2023-08-05,2.0,176.67,5.0,335.67,pendiente,,True
O0117,C058,P001,2024-04-08,6.0,394.57,0.0,2367.42,enviado,tarjeta,False
O0118,C054,P011,2024-08-13,9.0,55.21,20.0,397.51,enviado,tarjeta,True
O0119,C058,P005,2023-05-01,5.0,41.73,15.0,177.35,completado,efectivo,True
O0121,C043,P014,2023-07-23,5.0,122.59,15.0,521.01,completado,efectivo,True
O0122,C063,P010,2023-06-01,2.0,412.83,5.0,784.38,pendiente,tarjeta,True
O0123,C027,P011,2024-02-16,5.0,238.12,0.0,1190.6,,webpay,False
O0124,C024,P024,2024-06-06,1.0,222.67,5.0,211.54,cancelado,tarjeta,True
O0125,C008,P010,2023-02-22,9.0,485.5,5.0,4151.02,,tarjeta,True
O0126,C050,P053,2024-09-22,10.0,240.75,15.0,2046.38,completado,efectivo,True
O0127,C074,P058,2023-02-25,3.0,486.22,5.0,1385.73,completado,webpay,True
O0128,C011,P044,2024-04-27,10.0,163.28,0.0,1632.8,enviado,efectivo,False
O0129,C051,P036,2024-05-17,1.0,60.7,5.0,57.66,completado,tarjeta,True
O0130,C075,P049,2023-02-19,5.0,439.56,15.0,1868.13,completado,tarjeta,True
O0131,C078,P031,2023-03-09,3.0,24.2,5.0,68.97,completado,tarjeta,True
O0133,C039,P048,2024-06-09,10.0,98.03,15.0,833.26,completado,efectivo,True
O0134,C048,P053,2023-09-26,2.0,356.24,5.0,676.86,,tarjeta,True
O0135,C004,P012,2023-04-27,4.0,230.94,5.0,877.57,cancelado,,True
O0136,C060,P033,2024-11-04,4.0,246.95,5.0,938.41,completado,tarjeta,True
O0137,C071,P023,2024-03-27,2.0,18.59,5.0,35.32,completado,efectivo,True
O0138,C029,P042,2023-11-07,7.0,432.99,15.0,2576.29,completado,tarjeta,True
O0139,C077,P052,2023-04-09,5.0,448.26,15.0,1905.1,cancelado,efectivo,True
O0141,C037,P020,2023-08-03,5.0,431.44,10.0,1941.48,enviado,tarjeta,True
O0142,C067,P049,2023-01-26,6.0,362.04,10.0,1955.02,cancelado,webpay,True
O0143,C052,P025,2023-10-23,6.0,344.73,10.0,1861.54,,transferencia,True
O0145,C029,P048,2024-07-26,6.0,294.86,0.0,1769.16,completado,tarjeta,False
O0146,C075,P038,2023-08-07,7.0,209.49,5.0,1393.11,enviado,,True
O0147,C053,P037,2024-03-11,2.0,169.65,10.0,305.37,completado,tarjeta,True
O0148,C058,P018,2023-03-19,8.0,69.06,15.0,469.61,enviado,webpay,True
O0149,C062,P025,2023-01-18,6.0,446.54,0.0,2679.24,completado,efectivo,False
O0151,C067,P039,2024-07-22,6.0,182.83,5.0,1042.13,enviado,tarjeta,True
O0152,C030,P015,2023-04-24,10.0,65.97,15.0,560.74,cancelado,efectivo,True
O0153,C080,P004,2023-11-04,1.0,211.3,0.0,211.3,,transferencia,False
O0154,C061,P045,2023-04-23,5.0,332.52,20.0,1330.08,completado,tarjeta,True
O0155,C054,P054,2023-09-24,5.0,393.46,5.0,1868.94,completado,efectivo,True
O0157,C002,P043,2023-02-27,3.0,390.87,0.0,1172.61,cancelado,efectivo,False
O0158,C059,P019,2024-08-02,3.0,426.86,10.0,1152.52,enviado,efectivo,True
O0159,C013,P055,2023-01-28,3.0,181.98,20.0,436.75,cancelado,efectivo,True
O0161,C015,P009,2023-03-04,10.0,402.12,5.0,3820.14,completado,webpay,True
O0162,C046,P040,2023-11-27,8.0,60.9,15.0,414.12,completado,efectivo,True
O0163,C034,P042,2024-01-23,6.0,219.26,15.0,1118.23,pendiente,webpay,True
O0164,C020,P054,2023-01-21,9.0,426.68,0.0,3840.12,completado,,False
O0165,C031,P022,2024-01-17,9.0,204.62,0.0,1841.58,completado,tarjeta,False
O0166,C074,P029,2023-08-15,2.0,373.89,0.0,747.78,enviado,webpay,False
O0167,C005,P036,2023-02-26,9.0,329.03,10.0,2665.14,pendiente,tarjeta,True
O0169,C044,P023,2024-09-17,2.0,448.95,5.0,853.0,enviado,efectivo,True
O0170,C033,P040,2023-04-04,4.0,413.15,10.0,1487.34,pendiente,webpay,True
O0171,C006,P060,2023-08-15,8.0,267.53,20.0,1712.19,enviado,tarjeta,True
O0172,C062,P060,2023-12-19,3.0,196.77,20.0,472.25,enviado,webpay,True
O0173,C078,P059,2023-05-13,5.0,403.37,15.0,1714.32,completado,efectivo,True
O0174,C039,P054,2024-12-24,4.0,313.96,10.0,1130.26,completado,tarjeta,True
O0175,C065,P035,2024-12-04,9.0,293.49,15.0,2245.2,,transferencia,True
O0176,C055,P052,2023-09-04,7.0,31.27,5.0,207.95,cancelado,tarjeta,True
O0177,C037,P044,2024-03-27,5.0,378.03,10.0,1701.14,completado,efectivo,True
O0178,C079,P056,2023-12-21,4.0,348.0,15.0,1183.2,enviado,webpay,True
O0179,C041,P036,2023-01-24,4.0,415.84,20.0,1330.69,,tarjeta,True
O0180,C026,P050,2023-05-15,3.0,368.86,15.0,940.59,completado,webpay,True
O0181,C036,P036,2024-03-06,1.0,235.83,0.0,235.83,completado,,False
O0182,C077,P004,2024-08-26,2.0,265.07,20.0,424.11,pendiente,efectivo,True
O0183,C021,P027,2024-02-12,4.0,168.88,5.0,641.74,completado,efectivo,True
O0184,C061,P036,2023-02-22,8.0,452.73,0.0,3621.84,pendiente,webpay,False
O0185,C015,P025,2024-09-24,1.0,259.58,15.0,220.64,completado,transferencia,True
O0186,C025,P021,2023-02-06,2.0,336.82,15.0,572.59,pendiente,efectivo,True
O0187,C069,P054,2024-11-27,3.0,232.32,0.0,696.96,pendiente,efectivo,False
O0188,C007,P012,2024-09-03,5.0,197.08,15.0,837.59,pendiente,tarjeta,True
O0189,C050,P044,2023-09-01,10.0,351.94,10.0,3167.46,,efectivo,True
O0190,C038,P051,2024-10-03,8.0,200.58,15.0,1363.94,completado,efectivo,True
O0191,C029,P009,2024-09-10,5.0,478.91,20.0,1915.64,,tarjeta,True
O0193,C019,P011,2023-04-20,4.0,94.77,20.0,303.26,completado,efectivo,True
O0194,C010,P019,2023-05-04,10.0,476.01,5.0,4522.1,enviado,efectivo,True
O0195,C037,P040,2023-04-11,8.0,310.09,20.0,1984.58,completado,tarjeta,True
O0196,C073,P024,2024-07-06,6.0,393.9,10.0,2127.06,pendiente,tarjeta,True
O0197,C043,P057,2024-08-15,5.0,278.08,20.0,1112.32,pendiente,transferencia,True
O0198,C018,P058,2023-05-24,2.0,425.55,-5.0,893.66,completado,tarjeta,False
O0199,C052,P050,2023-01-18,9.0,328.68,10.0,2662.31,enviado,efectivo,True
O0201,C066,P009,2024-03-06,8.0,25.01,5.0,190.08,pendiente,transferencia,True
O0202,C048,P015,2023-11-07,7.0,459.36,0.0,3215.52,pendiente,efectivo,False
O0203,C067,P041,2024-12-09,7.0,185.82,20.0,1040.59,cancelado,webpay,True
O0205,C010,P033,2024-04-05,3.0,303.0,5.0,863.55,enviado,,True
O0206,C015,P031,2024-08-07,7.0,125.62,20.0,703.47,completado,tarjeta,True
O0207,C018,P041,2023-10-05,3.0,461.61,20.0,1107.86,completado,tarjeta,True
O0208,C037,P006,2023-08-20,8.0,113.59,20.0,726.98,completado,tarjeta,True
O0209,C024,P040,2024-03-24,8.0,118.76,5.0,902.58,pendiente,tarjeta,True
O0210,C026,P034,2024-03-20,3.0,451.3,20.0,1083.12,,efectivo,True
O0211,C012,P031,2023-10-18,7.0,188.34,20.0,1054.7,enviado,efectivo,True
O0212,C062,P051,2024-06-19,7.0,130.99,0.0,916.93,cancelado,tarjeta,False
O0213,C070,P027,2024-04-01,10.0,262.28,5.0,2491.66,pendiente,webpay,True
O0214,C047,P007,2023-07-21,5.0,284.51,15.0,1209.17,enviado,webpay,True
O0215,C071,P051,2024-03-12,5.0,290.94,5.0,1381.96,pendiente,efectivo,True
O0217,C077,P028,2023-02-09,6.0,306.47,15.0,1563.0,completado,efectivo,True
O0218,C037,P046,2023-03-21,8.0,104.85,5.0,796.86,completado,tarjeta,True
O0219,C066,P034,2023-10-06,6.0,329.23,0.0,1975.38,cancelado,webpay,False
O0220,C046,P043,2024-07-19,9.0,369.78,0.0,3328.02,,transferencia,False
O0001,C001,P003,2024-03-15,2.0,49.99,10.0,89.98,completado,tarjeta,True
O0002,C005,P010,2024-01-20,1.0,199.99,0.0,199.99,enviado,webpay,False
O0003,C012,P007,2024-05-11,3.0,29.99,5.0,85.47,pendiente,efectivo,True
