pedido_id,cliente_id,producto_id,fecha_pedido,cantidad,precio_unitario,descuento_pct,total,estado,metodo_pago
O0195,C037,P040,2023-04-11,8,310.09,20,1984.58,COMPLETADO,tarjeta
O0196,C073,P024,2024-07-06,6,393.9,10,2127.06,Pendiente,Tarjeta
O0197,C043,P057,2024-08-15,5,278.08,20,1112.32,pendiente,transferencia
O0198,C018,P058,2023-05-24,2,425.55,-5,893.66,completado,tarjeta
O0199,C052,P050,2023-01-18,9,328.68,10,2662.31,enviado,EFECTIVO
O0200,C076,P047,2024-03-15,0,253.57,5,0.0,completado,Tarjeta
O0201,C066,P009,2024-03-06,8,25.01,5,190.08,pendiente,transferencia
O0202,C048,P015,2023-11-07,7,459.36,0,3215.52,Pendiente,efectivo
O0203,C067,P041,2024-12-09,7,185.82,20,1040.59,cancelado,webpay
O0204,C029,P034,,8,253.41,15,1723.19,COMPLETADO,EFECTIVO
O0205,C010,P033,2024-04-05,3,303.0,5,863.55,enviado,
O0206,C015,P031,2024-08-07,7,125.62,20,703.47,completado,Tarjeta
O0207,C018,P041,2023-10-05,3,461.61,20,1107.86,completado,tarjeta
O0208,C037,P006,2023-08-20,8,113.59,20,726.98,COMPLETADO,tarjeta
O0209,C024,P040,2024-03-24,8,118.76,5,902.58,pendiente,tarjeta
O0210,C026,P034,2024-03-20,3,451.3,20,2166.24,,efectivo
O0211,C012,P031,2023-10-18,7,188.34,20,1054.7,enviado,EFECTIVO
O0212,C062,P051,2024-06-19,7,130.99,0,916.93,cancelado,tarjeta
O0213,C070,P027,2024-04-01,10,262.28,5,2491.66,Pendiente,webpay
O0214,C047,P007,2023-07-21,5,284.51,15,1209.17,enviado,webpay
O0215,C071,P051,2024-03-12,5,290.94,5,1381.96,pendiente,EFECTIVO
O0216,C058,P051,2024-02-30,9,84.57,0,761.13,COMPLETADO,tarjeta
O0217,C077,P028,2023-02-09,6,306.47,15,1563.0,completado,efectivo
O0218,C037,P046,2023-03-21,8,104.85,5,796.86,completado,tarjeta
O0219,C066,P034,2023-10-06,6,329.23,0,1975.38,cancelado,webpay
O0220,C046,P043,2024-07-19,9,369.78,0,3328.02,,transferencia
O0001,C001,P003,2024-03-15,2,49.99,10,89.98,completado,tarjeta
O0002,C005,P010,2024-01-20,1,199.99,0,199.99,enviado,webpay
O0003,C012,P007,2024-05-11,3,29.99,5,85.47,pendiente,efectivo
